# Produced by delphy version 1.0 (build 2036, commit 06a7ee4)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/zika.fasta <DASH-DASH>v0-steps 2000000000 <DASH-DASH>v0-out-log-file delphy_outputs_b/zika_delphy.log <DASH-DASH>v0-log-every 400000 <DASH-DASH>v0-out-trees-file delphy_outputs_b/zika_delphy.trees <DASH-DASH>v0-tree-every 2000000 <DASH-DASH>v0-out-delphy-file delphy_outputs_b/zika_delphy.dphy <DASH-DASH>v0-delphy-snapshot-every 2000000 <DASH-DASH>v0-out-beast-xml beast2_run/zika.xml
Sample	numMuts	posterior_for_Delphy	likelihood_really_logG	prior	treeLikelihood_really_logG	TreeHeight	clockRate	kappa	CoalescentExponential	ePopSize	growthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
0	1553	-36956.2	-36942.1	-14.0765	-36942.1	2.5977	0.001	1	-1397.74	3	0	0.310169	0.208383	0.277228	0.204219	
400000	1261	-31132.6	-31854.6	721.958	-31854.6	2.98044	0.00124811	15.218	-655.439	53.3857	1.0231	0.261455	0.233322	0.283369	0.221854	
800000	1236	-30893.8	-31601	707.154	-31601	2.99	0.0011113	15.0887	-669.773	86.0913	1.31723	0.268605	0.232834	0.276856	0.221704	
1200000	1227	-30802.2	-31502.3	700.064	-31502.3	2.77788	0.00113358	16.8456	-675.457	270.553	2.14554	0.257669	0.232583	0.277951	0.231797	
1600000	1223	-30683.5	-31400.6	717.096	-31400.6	3.12625	0.00124649	13.6898	-659.563	135.573	1.77869	0.260442	0.232505	0.279492	0.227561	
2000000	1218	-30544.4	-31271.1	726.696	-31271.1	2.85465	0.00116948	16.4865	-649.713	118.146	1.7368	0.256633	0.241517	0.275379	0.226471	
2400000	1215	-30502.1	-31227.3	725.236	-31227.3	2.98598	0.00122649	15.8216	-651.33	110.42	1.68518	0.264997	0.23182	0.282298	0.220885	
2800000	1211	-30569.5	-31274.8	705.288	-31274.8	2.75896	0.0011667	18.2037	-670.741	139.947	1.56784	0.269511	0.228924	0.274815	0.22675	
3200000	1210	-30525.2	-31236.2	710.953	-31236.2	3.02754	0.00114282	17.2836	-664.996	168.107	1.88687	0.260775	0.229365	0.276186	0.233673	
3600000	1210	-30622.1	-31318.4	696.331	-31318.4	3.19759	0.0010255	17.171	-679.468	198.889	1.76918	0.269962	0.228812	0.266015	0.235212	
4000000	1211	-30668.1	-31361.7	693.569	-31361.7	3.18649	0.0010784	18.8734	-682.269	155.271	1.72759	0.260565	0.238273	0.274412	0.226751	
4400000	1206	-30646.7	-31329.2	682.51	-31329.2	3.27141	0.00103703	15.9921	-693.71	153.018	1.62274	0.257253	0.232714	0.275727	0.234306	
4800000	1209	-30675.8	-31361.4	685.646	-31361.4	2.88806	0.00102436	17.5029	-690.143	193.067	1.68367	0.265245	0.234909	0.272184	0.227663	
5200000	1212	-30654.8	-31349.2	694.469	-31349.2	2.77533	0.00105113	17.6275	-681.89	108.665	1.35048	0.257985	0.237454	0.282101	0.222459	
5600000	1211	-30798	-31470.8	672.783	-31470.8	3.14016	0.000944041	15.3008	-703.048	245.736	1.89247	0.266797	0.233297	0.275435	0.224471	
